Calibration traffic started at 2026-04-19T16:29:21.087651
Duration: 3600s (1h)
Patterns per cycle: 22

[cycle 100] curl -s -A 'Mozilla/5.0' http://localhost:8080/ > /dev/null → rc=0
[cycle 100] curl -s http://10.88.0.11:8080/ > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.12:8080/ > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.13:8080/ > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.13:8080/ > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.14:8080/ > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.16:8080/   > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.18:8080/    > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.22:8080/    > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.24:8080/  > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.23:8080/    > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.17:8080/   > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.15:8080/ > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.19:8080/     > /dev/null || true → rc=0
[cycle 100] nc -z -w1 10.88.0.20 6379    2>/dev/null || true → rc=0
[cycle 100] nc -z -w1 10.88.0.21 5432 2>/dev/null || true → rc=0
[cycle 100] nc -z -w1 10.88.0.20 6379    2>/dev/null || true → rc=0
[cycle 100] nc -z -w1 10.88.0.21 5432 2>/dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.27:8080/   > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.28:9090/      > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.29:3000/   > /dev/null || true → rc=0
[cycle 100] curl -s http://10.88.0.26:8080/    > /dev/null || true → rc=0
[cycle 200] curl -s -A 'Mozilla/5.0' http://localhost:8080/ > /dev/null → rc=0
[cycle 200] curl -s http://10.88.0.11:8080/ > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.12:8080/ > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.13:8080/ > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.13:8080/ > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.14:8080/ > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.16:8080/   > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.18:8080/    > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.22:8080/    > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.24:8080/  > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.23:8080/    > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.17:8080/   > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.15:8080/ > /dev/null || true → rc=0
[cycle 200] curl -s http://10.88.0.19:8080/     > /dev/null || true → rc=0
[cycle 200] nc -z -w1 10.88.0.20 6379    2>/dev/null || true → rc=0
[cycle 200] nc -z -w1 10.88.0.21 5432 2>/dev/null || true → rc=0
[cycle 200] nc -z -w1 10.88.0.20 6379    2>/dev/null || true → rc=0
