tool,scenario,expect,detected
causaltrace,S1,False,True
causaltrace,S2,True,True
causaltrace,S2a,True,True
causaltrace,S3,True,True
causaltrace,S3a,True,True
causaltrace,S4,True,True
causaltrace,S5,True,True
causaltrace,S6,True,True
causaltrace,S7,True,True
causaltrace,S8,True,True
causaltrace,S9,True,True
causaltrace,S10,True,True
causaltrace,S11,True,True
falco,S1,False,True
falco,S2,True,True
falco,S2a,True,True
falco,S3,True,True
falco,S3a,True,True
falco,S4,True,True
falco,S5,True,True
falco,S6,True,True
falco,S7,True,True
falco,S8,True,True
falco,S9,True,True
falco,S10,True,True
falco,S11,True,True
tetragon,S1,False,False
tetragon,S2,True,False
tetragon,S2a,True,False
tetragon,S3,True,False
tetragon,S3a,True,False
tetragon,S4,True,False
tetragon,S5,True,False
tetragon,S6,True,False
tetragon,S7,True,True
tetragon,S8,True,True
tetragon,S9,True,True
tetragon,S10,True,True
tetragon,S11,True,True
